TDate,Nat,Name,InOut,ClubFrom,DivFrom,ClubTo,DivTo,Amount,ClubFromID,ClubToID,Year_F,date,month,player_id
01-Jul,Slovénie,Jasmin Kurtic,in,Atalanta,Italy,SPAL,Italy,4.8,43,58,2018,1,7,90287
19-Jul,Italie,Andrea Petagna,in,Atalanta,Italy,SPAL,Italy,12,43,58,2018,19,7,122296
13-Aug,Italie,S.  Missiroli,in,Sassuolo,Italy,SPAL,Italy,2.5,57,58,2018,13,8,13348
16-Aug,Italie,M.  Valdifiori,in,Torino,Italy,SPAL,Italy,1,59,58,2018,16,8,128746
04-Jul,Italie,Armando Izzo,in,Genoa,Italy,Torino,Italy,8,50,59,2018,4,7,141307
10-Jul,France,S.  Meïté,in,Monaco,France,Torino,Italy,10,70,59,2018,10,7,105161
17-Aug,Côte d'Ivoire,Koffi Djidji,in,Nantes,France,Torino,Italy,4.5,72,59,2018,17,8,109835
17-Aug,Italie,Simone Zaza,in,Valencia CF,Spain,Torino,Italy,12,30,59,2018,17,8,71647
26-Jul,Italie,R.  Mandragora,in,Juventus,Italy,Udinese,Italy,20,52,60,2018,26,7,241020
13-Jul,RD Congo,H.  Manzala,in,Amiens,France,Angers,France,1,61,62,2018,13,7,232576
04-Jul,Tchad,Casimir Ninga,in,Montpellier,France,Caen,France,2,71,64,2018,4,7,298542
24-Jul,Maroc,Yacine Bammou,in,Nantes,France,Caen,France,2,72,64,2018,24,7,231145
03-Aug,Maroc,Fayçal Fajr,in,Getafe,Spain,Caen,France,2,32,64,2018,3,8,105026
28-Aug,France,G.  Fofana,in,Amiens,France,Guingamp,France,1,61,66,2018,28,8,256056
02-Jul,France,Jonathan Ikoné,in,Paris S-G,France,Lille,France,5,75,67,2018,2,7,322094
01-Jul,France,Martin Terrier,in,Lille,France,Lyon,France,11,67,68,2018,1,7,329356
02-Jul,France,Tanguy Ndombele,in,Amiens,France,Lyon,France,10,61,68,2018,2,7,321389
21-Aug,Belgique,Jason Denayer,in,Manchester City,England,Lyon,France,6.5,13,68,2018,21,8,243511
28-Aug,Pays-Bas,Kevin Strootman,in,AS Roma,Italy,Marseille,France,25,42,69,2018,28,8,35954
19-Jun,France,Willem Geubbels,in,Lyon,France,Monaco,France,20,68,70,2018,19,6,345987
10-Jul,Italie,Antonio Barreca,in,Torino,Italy,Monaco,France,12,59,70,2018,10,7,143524
24-Jul,Côte d'Ivoire,J.-E. Aholou,in,Strasbourg,France,Monaco,France,14,79,70,2018,24,7,139111
28-Aug,Allemagne,B.  Henrichs,in,Bayer Leverkusen,Germany,Monaco,France,20,82,70,2018,28,8,296769
24-Jul,Algérie,Andy Delort,in,Toulouse FC,France,Montpellier,France,5,80,71,2018,24,7,79976
16-Aug,France,Gaëtan Laborde,in,Bordeaux,France,Montpellier,France,5,63,71,2018,16,8,140051
13-Aug,France,Myziane Maolida,in,Lyon,France,Nice,France,10,68,73,2018,13,8,336074
17-Jul,France,Kylian Mbappé,in,Monaco,France,Paris S-G,France,180,70,75,2018,17,7,300713
16-Aug,Allemagne,Thilo Kehrer,in,Schalke 04,Germany,Paris S-G,France,37,95,75,2018,16,8,255167
31-Aug,Espagne,Juan Bernat,in,Bayern Munich,Germany,Paris S-G,France,5,83,75,2018,31,8,106894
12-Jun,France,J.  Siebatcheu,in,Reims,France,Rennes,France,12,76,77,2018,12,6,260812
21-Jun,France,Del Castillo,in,Lyon,France,Rennes,France,2,68,77,2018,21,6,300291
24-Jul,France,C.  Grenier,in,Guingamp,France,Rennes,France,4,66,77,2018,24,7,79562
30-Aug,Sénégal,Mbaye Niang,in,Torino,Italy,Rennes,France,15,59,77,2018,30,8,58761
16-Aug,France,Rémy Cabella,in,Marseille,France,Saint-Etienne,France,5,69,78,2018,16,8,85693
26-Jul,Belgique,Matz Sels,in,Newcastle United,England,Strasbourg,France,4,15,79,2018,26,7,78386
30-Aug,Afrique du Sud,Lebo Mothiba,in,Lille,France,Strasbourg,France,4,67,79,2018,30,8,329620
28-Jun,France,Baptiste Reynet,in,Dijon,France,Toulouse FC,France,4,65,80,2018,28,6,105028
01-Jul,Côte d'Ivoire,M.-A. Gradel,in,Bournemouth,England,Toulouse FC,France,2,2,80,2018,1,7,29814
01-Jul,RD Congo,Firmin Mubele,in,Rennes,France,Toulouse FC,France,5,77,80,2018,1,7,139586
07-Jun,Danemark,Thomas Delaney,in,Werder Bremen,Germany,Dortmund,Germany,20,97,84,2018,7,6,73744
26-Jun,France,Abdou Diallo,in,Mainz,Germany,Dortmund,Germany,28,92,84,2018,26,6,248112
01-Jul,Allemagne,Marius Wolf,in,E Francfort,Germany,Dortmund,Germany,5,87,84,2018,1,7,312666
28-Aug,Espagne,Paco Alcácer,in,FC Barcelona,Spain,Dortmund,Germany,23,28,84,2018,28,8,95953
13-Jul,France,Alassane Pléa,in,Nice,France,M'gladbach,Germany,25,73,85,2018,13,7,108585
01-Jul,Allemagne,Jerôme Gondorf,in,Werder Bremen,Germany,Freiburg,Germany,1.3,97,88,2018,1,7,133505
01-Jul,Japon,Genki Haraguchi,in,Düsseldorf,Germany,Hannover 96,Germany,4.5,86,89,2018,1,7,238698
01-Jul,Italie,Vincenzo Grifo,in,M'gladbach,Germany,Hoffenheim,Germany,5.5,85,91,2018,1,7,121192
