"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount","ClubFromID","ClubToID","Year_F"
"01/07","Brésil","Rodrigo Fabri","out","Atlético Madrid","Spain","Brazil","Other",0,23,99,2004
"05/07","Grèce","D.  Nikolaidis","out","Atlético Madrid","Spain","Greece","Other",0,23,108,2004
"01/12","Argentine","Diego Simeone","out","Atlético Madrid","Spain","Argentina","Other",0,23,105,2004
"01/07","Brésil","Djalminha","out","Depor","Spain","Mexico","Other",0,25,109,2004
"01/07","Pays-Bas","Kevin Bobson","out","Espanyol","Spain","Netherlands","Other",0,26,100,2004
"01/07","Turquie","Tayfun Korkut","out","Espanyol","Spain","Turkey","Other",0,26,104,2004
"25/08","Côte d'Ivoire","Cyril Domoraud","out","Espanyol","Spain","Turkey","Other",0,26,104,2004
"07/06","Pays-Bas","Philip Cocu","out","FC Barcelona","Spain","Netherlands","Other",0,27,100,2004
"06/07","Portugal","R.  Quaresma","out","FC Barcelona","Spain","Portugal","Other",6,27,106,2004
"01/07","Argentine","F.  Lussenhoff","out","Mallorca","Spain","Mexico","Other",0,32,109,2004
"31/08","Pays-Bas","Arnold Bruggink","out","Mallorca","Spain","Netherlands","Other",0,32,100,2004
"01/07","Uruguay","Diego Alonso","out","Málaga","Spain","Mexico","Other",0,33,109,2004
"01/01","Espagne","X.  Azkargorta","out","Real Madrid","Spain","Mexico","Other",0,37,109,2004
"02/08","Argentine","G.  Schürrer","out","Real Sociedad","Spain","Greece","Other",0,39,108,2004
"01/07","Norvège","John Carew","out","AS Roma","Italy","Turkey","Other",0,42,104,2004
"14/07","Brésil","Francisco Lima","out","AS Roma","Italy","Russia","Other",0,42,113,2004
"31/01","Italie","R.  De Martino","out","AS Roma","Italy","Switzerland","Other",0,42,102,2004
"01/07","Argentine","Guglielminpietro","out","Bologna","Italy","Argentina","Other",0,44,105,2004
"01/07","Italie","G.  Signori","out","Bologna","Italy","Greece","Other",0,44,108,2004
"01/07","Egypte","Hany Said","out","Fiorentina","Italy","Belgium","Other",0,48,103,2004
"17/06","Turquie","Buruk Okan","out","Inter Milan","Italy","Turkey","Other",0,49,104,2004
"13/07","Côte d'Ivoire","Arnaud Kouyo","out","Lecce","Italy","Belgium","Other",0,52,103,2004
"26/06","Italie","G.  Chiellini","out","Livorno","Italy","Juventus","Italy",0,53,50,2004
"14/07","République tchèque","Martin Jiránek","out","Reggina","Italy","Russia","Other",3.3,57,113,2004
"01/07","Serbie","Nenad Sakic","out","Sampdoria","Italy","Serbia","Other",0,58,114,2004
"01/07","Serbie","B.  Zivkovic","out","Sampdoria","Italy","Serbia","Other",0,58,114,2004
"01/07","Brésil","Júnior","out","Siena","Italy","Brazil","Other",0,59,99,2004
"01/07","Argentine","L.  Castromán","out","Udinese","Italy","Argentina","Other",0,60,105,2004
"01/07","Paraguay","Diego Gavilán","out","Udinese","Italy","Brazil","Other",0,60,99,2004
"01/07","Italie","Fabio Rossitto","out","Udinese","Italy","Belgium","Other",0,60,103,2004
"01/07","Serbie","M.  Martinovic","out","AC Ajaccio","France","Serbia","Other",0,61,114,2004
"01/07","France","S.  Maurel","out","AC Ajaccio","France","Portugal","Other",0,61,106,2004
"06/08","Côte d'Ivoire","L.  Diabaté","out","AC Ajaccio","France","Belgium","Other",0,61,103,2004
"01/07","France","J.-A. Boumsong","out","Auxerre","France","Scotland","Other",0,62,101,2004
"20/01","Etats-Unis","Greg Vanney","out","Bastia","France","United States","Other",0,63,111,2004
"20/06","France","Mathieu Beda","out","Bordeaux","France","Belgium","Other",0,64,103,2004
"01/07","France","Daniel Deves","out","Bordeaux","France","Switzerland","Other",0,64,102,2004
"01/07","Portugal","Paulo Costa","out","Bordeaux","France","Portugal","Other",0,64,106,2004
"01/07","Brésil","Paulo Miranda","out","Bordeaux","France","Brazil","Other",0,64,99,2004
"04/07","France","Hervé Alicarte","out","Bordeaux","France","Switzerland","Other",0,64,102,2004
"27/08","Portugal","Bruno Basto","out","Bordeaux","France","Netherlands","Other",0,64,100,2004
"01/07","Nigeria","Furo Iyenemi","out","Istres","France","Switzerland","Other",0,66,102,2004
"01/07","Brésil","Leonardo Oliveira","out","Istres","France","Switzerland","Other",0,66,102,2004
"02/07","France","X.  Gravelaine","out","Istres","France","Switzerland","Other",0,66,102,2004
"11/07","Cameroun","Rigobert Song","out","Lens","France","Turkey","Other",1.5,67,104,2004
"02/05","Chili","Hector Tapia","out","Lille","France","Brazil","Other",0,68,99,2004
"15/05","Australie","Mile Sterjovski","out","Lille","France","Switzerland","Other",0,68,102,2004
"01/07","Belgique","Eric Deflandre","out","Lyon","France","Belgium","Other",0,69,103,2004
"09/07","République tchèque","S.  Vachousek","out","Marseille","France","Austria","Other",1.5,70,107,2004
"17/07","France","M.  Dos Santos","out","Marseille","France","Portugal","Other",0,70,106,2004
"01/07","France","Ludovic Butelle","out","Metz","France","Valencia CF","Spain",0,71,29,2004
"31/01","France","Franck Ribéry","out","Metz","France","Turkey","Other",2.5,71,104,2004
"01/07","Croatie","Dado Prso","out","Monaco","France","Scotland","Other",0,72,101,2004
"01/07","Roumanie","Viorel Moldovan","out","Nantes","France","Switzerland","Other",0,73,102,2004
"30/07","Brésil","Everson","out","Nice","France","Portugal","Other",1.2,74,106,2004
"30/08","Belgique","P.  Léonard","out","Nice","France","Belgium","Other",0,74,103,2004
"04/08","Portugal","Hugo Leal","out","Paris S-G","France","Portugal","Other",0,75,106,2004
"24/05","France","Fabrice Ehret","out","Strasbourg","France","Belgium","Other",0,79,103,2004
"10/06","Suède","Mikael Dorsin","out","Strasbourg","France","Norway","Other",0,79,110,2004
"17/06","Brésil","Fernandão","out","Toulouse FC","France","Brazil","Other",0,80,99,2004
"01/07","Pologne","Maciej Murawski","out","Bielefeld","Germany","Greece","Other",0,81,108,2004
"01/10","Autriche","Zeljko Radovic","out","Bielefeld","Germany","Austria","Other",0,81,107,2004
"31/03","Etats-Unis","Landon Donovan","out","Bayer Leverkusen","Germany","United States","Other",1,82,111,2004
"01/07","Pays-Bas","Anton Vriesde","out","Bochum","Germany","Netherlands","Other",0,84,100,2004
"20/06","Brésil","F.  Conceição","out","Dortmund","Germany","Turkey","Other",0,85,104,2004
"26/04","Brésil","Evanílson","out","Dortmund","Germany","Brazil","Other",0,85,99,2004
"01/07","Pays-Bas","Nico-Jan Hoogma","out","Hamburger SV","Germany","Netherlands","Other",0,88,100,2004
"01/07","Allemagne","Marc Ziegler","out","Hannover 96","Germany","Austria","Other",0,89,107,2004
"07/07","Brésil","Kléber","out","Hannover 96","Germany","Switzerland","Other",0.8,89,102,2004
"01/01","Russie","Vladimir But","out","Hannover 96","Germany","Russia","Other",0,89,113,2004
"06/01","Etats-Unis","Clint Mathis","out","Hannover 96","Germany","United States","Other",0,89,111,2004
"25/06","Autriche","G.  Plassnegger","out","Hansa Rostock","Germany","Austria","Other",0.5,90,107,2004
"02/07","Belgique","Bart Goor","out","Hertha Berlin","Germany","Netherlands","Other",0,91,100,2004
"01/07","Belgique","Stijn Vreven","out","Kaiserslautern","Germany","Netherlands","Other",0,92,100,2004
"09/07","Croatie","Nenad Bjelica","out","Kaiserslautern","Germany","Austria","Other",0,92,107,2004
"01/07","Brésil","Rafael Santos","out","FC Nürnberg","Germany","Brazil","Other",0,94,99,2004
"01/07","Etats-Unis","Tony Sanneh","out","FC Nürnberg","Germany","United States","Other",0,94,111,2004
"09/08","Brésil","Jeronimo Baretto","out","FC Nürnberg","Germany","Turkey","Other",0,94,104,2004
"05/07","Argentine","A.  Matellán","out","Schalke 04","Germany","Argentina","Other",0,95,105,2004
"09/07","Autriche","Eduard Glieder","out","Schalke 04","Germany","Austria","Other",0,95,107,2004
"01/07","Angola","Rui Marques","out","Stuttgart","Germany","Portugal","Other",0,96,106,2004
"01/01","Grèce","A.  Charisteas","out","Werder Bremen","Germany","Netherlands","Other",4.9,97,100,2004
"11/06","Argentine","P.  Quatrocchi","out","Wolfsburg","Germany","Mexico","Other",0,98,109,2004
"19/06","Allemagne","Bernd Leno","in","Bayer Leverkusen","Germany","Arsenal","England",25,82,1,2018
"02/07","Grèce","Papastathopoulos","in","Dortmund","Germany","Arsenal","England",16,84,1,2018
"10/07","Uruguay","Lucas Torreira","in","Sampdoria","Italy","Arsenal","England",30,56,1,2018
"24/07","Espagne","Diego Rico","in","Leganés","Spain","Bournemouth","England",15,34,2,2018
"07/08","Colombie","Jefferson Lerma","in","Levante","Spain","Bournemouth","England",30,35,2,2018
"04/01","Angleterre","Dominic Solanke","in","Liverpool","England","Bournemouth","England",21.1,12,2,2018
"05/07","Brésil","Bernardo","in","RB Leipzig","Germany","Brighton & Hove","England",10.2,94,3,2018
"17/07","Mali","Yves Bissouma","in","Lille","France","Brighton & Hove","England",16.9,67,3,2018
"25/07","Iran","A.  Jahanbakhsh","in","Netherlands","Other","Brighton & Hove","England",19.1,104,3,2018
"09/08","Espagne","Martín Montoya","in","Valencia CF","Spain","Brighton & Hove","England",7,30,3,2018
"22/01","Argentine","Mac Allister","in","Argentina","Other","Brighton & Hove","England",9,105,3,2018
"07/08","Angleterre","Joe Hart","in","Manchester City","England","Burnley","England",3.9,13,4,2018
"19/01","Argentine","Emiliano Sala","in","Nantes","France","Cardiff City","England",17,72,5,2018
"14/07","Italie","Jorginho","in","Napoli","Italy","Chelsea","England",57,54,6,2018
"08/08","Espagne","Arrizabalaga","in","Athletic Bilbao","Spain","Chelsea","England",80,22,6,2018
"01/08","Sénégal","C.  Kouyaté","in","West Ham","England","Crystal Palace","England",10.7,19,7,2018
"24/07","Brésil","Richarlison","in","Watford","England","Everton","England",45,18,8,2018
"01/08","France","Lucas Digne","in","FC Barcelona","Spain","Everton","England",20.2,28,8,2018
"09/08","Portugal","André Gomes","in","FC Barcelona","Spain","Everton","England",25,28,8,2018
"09/08","Colombie","Yerry Mina","in","FC Barcelona","Spain","Everton","England",30.3,28,8,2018
"12/07","Côte d'Ivoire","J.-M. Seri","in","Nice","France","Fulham","England",30,73,9,2018
"24/07","Espagne","Fabricio","in","Turkey","Other","Fulham","England",6,102,9,2018
"30/07","Serbie","A.  Mitrovic","in","Newcastle United","England","Fulham","England",20.2,15,9,2018
"02/08","Angleterre","Alfie Mawson","in","Wales","Other","Fulham","England",22.5,112,9,2018
"09/08","Cameroun","Zambo Anguissa","in","Marseille","France","Fulham","England",33,69,9,2018
"15/01","Pays-Bas","Ryan Babel","in","Turkey","Other","Fulham","England",2,102,9,2018
"20/06","Pays-Bas","Juninho Bacuna","in","Netherlands","Other","Huddersfield","England",2.5,104,10,2018
"20/07","France","Adama Diakhaby","in","Monaco","France","Huddersfield","England",10,70,10,2018
"01/07","Portugal","Ricardo Pereira","in","Portugal","Other","Leicester","England",22,101,11,2018
"20/07","Pays de Galles","Daniel Ward","in","Liverpool","England","Leicester","England",11.2,12,11,2018
"05/08","Algérie","Rachid Ghezzal","in","Monaco","France","Leicester","England",14,70,11,2018
"09/08","Croatie","Filip Benkovic","in","Croatia","Other","Leicester","England",15,107,11,2018
"09/08","Turquie","Caglar Soyuncu","in","Freiburg","Germany","Leicester","England",21,88,11,2018
"01/07","Brésil","Fabinho","in","Monaco","France","Liverpool","England",50,70,12,2018
"01/07","Guinée","Naby Keïta","in","RB Leipzig","Germany","Liverpool","England",55,94,12,2018
"19/07","Brésil","Alisson Becker","in","AS Roma","Italy","Liverpool","England",75,42,12,2018
"10/07","Algérie","Riyad Mahrez","in","Leicester","England","Manchester City","England",70,11,13,2018
"31/01","Croatie","Ante Palaversa","in","Croatia","Other","Manchester City","England",8.5,107,13,2018
"06/06","Portugal","Diogo Dalot","in","Portugal","Other","Man United","England",22,101,14,2018
"02/08","Japon","Yoshinori Muto","in","Mainz","Germany","Newcastle United","England",10.7,92,15,2018
"09/08","Argentine","F.  Fernández","in","Wales","Other","Newcastle United","England",6.7,112,15,2018
"29/06","Norvège","M.  Elyounoussi","in","Switzerland","Other","Southampton","England",18,106,16,2018
"10/07","Angleterre","Angus Gunn","in","Manchester City","England","Southampton","England",11.3,13,16,2018
"13/07","Danemark","J.  Vestergaard","in","M'gladbach","Germany","Southampton","England",20,85,16,2018
"09/08","Angleterre","Danny Ings","in","Liverpool","England","Southampton","England",22.2,12,16,2018
"01/07","Suède","Pontus Dahlberg","in","Sweden","Other","Watford","England",3.9,111,18,2018
"01/07","Espagne","Marc Navarro","in","Espanyol","Spain","Watford","England",2,27,18,2018
"02/07","Italie","Adam Masina","in","Bologna","Italy","Watford","England",5,44,18,2018
"04/07","Suède","Ken Sema","in","Sweden","Other","Watford","England",2.3,111,18,2018
"19/06","France","Issa Diop","in","Toulouse FC","France","West Ham","England",25,80,19,2018
"20/06","Pologne","L.  Fabianski","in","Wales","Other","West Ham","England",8,112,19,2018
"11/07","Ukraine","A.  Yarmolenko","in","Dortmund","Germany","West Ham","England",20,84,19,2018
"14/07","Paraguay","F.  Balbuena","in","Brazil","Other","West Ham","England",4,103,19,2018
"16/07","Brésil","Felipe Anderson","in","Lazio","Italy","West Ham","England",40,53,19,2018
"09/08","Espagne","Lucas Pérez","in","Arsenal","England","West Ham","England",4.5,1,19,2018
"09/08","Colombie","Carlos Sánchez","in","Fiorentina","Italy","West Ham","England",4.5,48,19,2018
"01/07","France","Willy Boly","in","Portugal","Other","Wolverhampton","England",13,101,20,2018
"24/07","Portugal","João Moutinho","in","Monaco","France","Wolverhampton","England",5.6,70,20,2018
"25/07","Espagne","Joni","in","Atlético Madrid","Spain","Wolverhampton","England",20.6,23,20,2018
"09/08","Belgique","L.  Dendoncker","in","Belgium","Other","Wolverhampton","England",13.5,100,20,2018
"05/07","Espagne","Rubén Sobrino","in","Manchester City","England","Alavés","Spain",2,13,21,2018
"12/08","Espagne","Tomás Pina","in","Belgium","Other","Alavés","Spain",1.5,100,21,2018
"01/07","Espagne","Ander Capa","in","Eibar","Spain","Athletic Bilbao","Spain",3,26,22,2018
"02/07","Espagne","Yuri Berchiche","in","Paris S-G","France","Athletic Bilbao","Spain",24,75,22,2018
"10/01","Espagne","Ibai","in","Alavés","Spain","Athletic Bilbao","Spain",4,21,22,2018
"31/01","Bosnie-Herzégovine","Kenan Kodro","in","Denmark","Other","Athletic Bilbao","Spain",0.9,108,22,2018
"19/06","France","Thomas Lemar","in","Monaco","France","Atlético Madrid","Spain",65,70,23,2018
"01/07","Espagne","Rodri","in","Villarreal","Spain","Atlético Madrid","Spain",25,40,23,2018
"05/07","Espagne","Antonio Adán","in","Real Betis","Spain","Atlético Madrid","Spain",1,24,23,2018
"31/07","Colombie","Santiago Arias","in","Netherlands","Other","Atlético Madrid","Spain",11,104,23,2018
"09/08","Croatie","Nikola Kalinic","in","AC Milan","Italy","Atlético Madrid","Spain",15,41,23,2018
"13/07","Portugal","William Carvalho","in","Portugal","Other","Real Betis","Spain",20,101,24,2018
"31/08","Argentine","G.  Lo Celso","in","Paris S-G","France","Real Betis","Spain",25,75,24,2018
"15/06","Turquie","Yokuslu Okay","in","Turkey","Other","Celta Vigo","Spain",6,102,25,2018
"08/08","Danemark","Mathias Jensen","in","Denmark","Other","Celta Vigo","Spain",5,108,25,2018
"30/08","Argentine","Pablo de Blasis","in","Mainz","Germany","Eibar","Spain",2,92,26,2018
"09/07","Espagne","Borja Iglesias","in","Celta Vigo","Spain","Espanyol","Spain",10,25,27,2018
"09/07","Brésil","Arthur","in","Brazil","Other","FC Barcelona","Spain",31,103,28,2018
"12/07","France","C.  Lenglet","in","Sevilla FC","Spain","FC Barcelona","Spain",35.9,29,28,2018
"24/07","Brésil","Malcom","in","Bordeaux","France","FC Barcelona","Spain",41,63,28,2018
"03/08","Chili","Arturo Vidal","in","Bayern Munich","Germany","FC Barcelona","Spain",18,83,28,2018
"31/01","Brésil","Emerson Leite","in","Brazil","Other","FC Barcelona","Spain",12,103,28,2018
"01/07","Cameroun","Ibrahim Amadou","in","Lille","France","Sevilla FC","Spain",15,67,29,2018
"01/07","Espagne","Roque Mesa","in","Wales","Other","Sevilla FC","Spain",7.2,112,29,2018
"04/07","République tchèque","Tomas Vaclik","in","Switzerland","Other","Sevilla FC","Spain",7,106,29,2018
"25/07","Espagne","Sergi Gomez","in","Celta Vigo","Spain","Sevilla FC","Spain",5,25,29,2018
"26/07","France","Joris Gnagnon","in","Rennes","France","Sevilla FC","Spain",15,77,29,2018
"04/08","Espagne","Aleix Vidal","in","FC Barcelona","Spain","Sevilla FC","Spain",8.5,28,29,2018
"31/08","Pays-Bas","Quincy Promes","in","Russia","Other","Sevilla FC","Spain",21,109,29,2018
"11/01","Espagne","M.  El Haddadi","in","FC Barcelona","Spain","Sevilla FC","Spain",3,28,29,2018
"11/01","Autriche","M.  Wöber","in","Netherlands","Other","Sevilla FC","Spain",10.5,104,29,2018
"28/06","France","M.  Diakhaby","in","Lyon","France","Valencia CF","Spain",15,68,30,2018
"09/07","Danemark","Daniel Wass","in","Celta Vigo","Spain","Valencia CF","Spain",6,25,30,2018
"23/07","Italie","C.  Piccini","in","Portugal","Other","Valencia CF","Spain",8,101,30,2018
"12/08","France","Kevin Gameiro","in","Atlético Madrid","Spain","Valencia CF","Spain",16,23,30,2018
"28/08","Portugal","Gonçalo Guedes","in","Paris S-G","France","Valencia CF","Spain",40,75,30,2018
"31/01","Espagne","Rubén Sobrino","in","Alavés","Spain","Valencia CF","Spain",5,21,30,2018
"12/07","Serbie","N.  Maksimovic","in","Valencia CF","Spain","Getafe","Spain",5.5,30,32,2018
"13/07","Espagne","David Soria","in","Sevilla FC","Spain","Getafe","Spain",3,29,32,2018
"26/07","Espagne","Iván Alejo","in","Eibar","Spain","Getafe","Spain",4,26,32,2018
"07/08","Turquie","Serdar Gurler","in","Turkey","Other","Huesca","Spain",2.5,102,33,2018
"01/07","Espagne","Rubén Rochina","in","Russia","Other","Levante","Spain",1,109,35,2018
"06/08","Nigeria","Moses Simon","in","Belgium","Other","Levante","Spain",5,100,35,2018
"07/08","Ghana","Raphael Dwamena","in","Switzerland","Other","Levante","Spain",6.2,106,35,2018
"09/08","Monténégro","Nikola Vukcevic","in","Portugal","Other","Levante","Spain",8.9,101,35,2018
"30/01","Portugal","Ruben Vezo","in","Valencia CF","Spain","Levante","Spain",5,30,35,2018
"01/07","Espagne","Alberto","in","Getafe","Spain","Rayo Vallecano","Spain",0.5,32,36,2018
"13/07","RD Congo","Gaël Kakuta","in","China","Other","Rayo Vallecano","Spain",2.5,99,36,2018
"23/07","Uruguay","E.  Velázquez","in","Atlético Madrid","Spain","Rayo Vallecano","Spain",1,23,36,2018
"09/08","Espagne","Jordi Amat","in","Wales","Other","Rayo Vallecano","Spain",1,112,36,2018
"08/08","Belgique","T.  Courtois","in","Chelsea","England","Real Madrid","Spain",35,6,37,2018
"29/08","République Dominicaine","Mariano","in","Lyon","France","Real Madrid","Spain",21.5,68,37,2018
"06/01","Espagne","Brahim Diaz","in","Manchester City","England","Real Madrid","Spain",15,13,37,2018
"12/07","Espagne","Mikel Merino","in","Newcastle United","England","Real Sociedad","Spain",12,15,38,2018
"03/08","Espagne","Rubén Alcaraz","in","Girona","Spain","Valladolid","Spain",1,31,39,2018
"23/01","Espagne","Pablo Hervías","in","Eibar","Spain","Valladolid","Spain",1,26,39,2018
"25/01","Espagne","Sergi Guardiola","in","Getafe","Spain","Valladolid","Spain",5,32,39,2018
"07/06","Cameroun","K.  Toko Ekambi","in","Angers","France","Villarreal","Spain",18,62,40,2018
"12/06","Espagne","Gerard Moreno","in","Espanyol","Spain","Villarreal","Spain",20,27,40,2018
"21/06","Argentine","R.  Funes Mori","in","Everton","England","Villarreal","Spain",9,8,40,2018
"10/07","Mexique","Miguel Layún","in","Portugal","Other","Villarreal","Spain",4,101,40,2018
"14/07","Argentine","S.  Cáseres","in","Argentina","Other","Villarreal","Spain",10,105,40,2018
"16/08","Colombie","Carlos Bacca","in","AC Milan","Italy","Villarreal","Spain",7,41,40,2018
"07/01","Espagne","Vicente Iborra","in","Leicester","England","Villarreal","Spain",10,11,40,2018
"15/08","Uruguay","Diego Laxalt","in","Genoa","Italy","AC Milan","Italy",14,50,41,2018
"17/08","Espagne","S.  Castillejo","in","Villarreal","Spain","AC Milan","Italy",25,40,41,2018
"03/01","Brésil","Lucas Paqueta","in","Brazil","Other","AC Milan","Italy",35,103,41,2018
"23/01","Pologne","K.  Piatek","in","Genoa","Italy","AC Milan","Italy",35,50,41,2018
"28/05","Croatie","Ante Coric","in","Croatia","Other","AS Roma","Italy",6,107,42,2018
"14/06","Pays-Bas","Justin Kluivert","in","Netherlands","Other","AS Roma","Italy",20,104,42,2018
"25/06","Argentine","Javier Pastore","in","Paris S-G","France","AS Roma","Italy",20,75,42,2018
"01/07","Italie","Bryan Cristante","in","Atalanta","Italy","AS Roma","Italy",21,43,42,2018
"01/07","République tchèque","Patrik Schick","in","Sampdoria","Italy","AS Roma","Italy",14,56,42,2018
"07/07","Brésil","Daniel Fuzato","in","Brazil","Other","AS Roma","Italy",0.5,103,42,2018
"24/07","Suède","Robin Olsen","in","Denmark","Other","AS Roma","Italy",8.5,108,42,2018
"14/08","France","Steven N'Zonzi","in","Sevilla FC","Spain","AS Roma","Italy",30,29,42,2018
"29/01","Brésil","Roger","in","Brazil","Other","Atalanta","Italy",4,103,43,2018
"21/06","Paraguay","F.  Santander","in","Denmark","Other","Bologna","Italy",6,108,44,2018
"22/06","Pologne","L.  Skorupski","in","AS Roma","Italy","Bologna","Italy",9,42,44,2018
"04/07","Italie","D.  Falcinelli","in","Sassuolo","Italy","Bologna","Italy",10,57,44,2018
"05/07","Suède","M.  Svanberg","in","Sweden","Other","Bologna","Italy",5,111,44,2018
"04/01","Italie","Nicola Sansone","in","Villarreal","Spain","Bologna","Italy",8,40,44,2018
"04/01","Italie","Roberto Soriano","in","Torino","Italy","Bologna","Italy",8,59,44,2018
"27/07","Croatie","Filip Bradaric","in","Croatia","Other","Cagliari","Italy",4.5,107,45,2018
"17/08","Estonie","Ragnar Klavan","in","Liverpool","England","Cagliari","Italy",1.3,12,45,2018
"31/01","Italie","F.  Cacciatore","in","Chievo Verona","Italy","Cagliari","Italy",0.8,46,45,2018
"17/08","Ghana","Afriyie Acquah","in","Torino","Italy","Empoli","Italy",1,59,47,2018
"17/08","Turquie","Ucan Salih","in","Turkey","Other","Empoli","Italy",1,102,47,2018
"01/07","France","Vincent Laurini","in","Empoli","Italy","Fiorentina","Italy",2,47,48,2018
"02/07","France","Alban Lafont","in","Toulouse FC","France","Fiorentina","Italy",7,80,48,2018
"19/07","Danemark","C.  Norgaard","in","Denmark","Other","Fiorentina","Italy",3.5,108,48,2018
"15/01","Côte d'Ivoire","H. J.  Traoré","in","Empoli","Italy","Fiorentina","Italy",15,47,48,2018
"17/08","Italie","Marco Capuano","in","Cagliari","Italy","Frosinone","Italy",1,45,49,2018
"09/07","Italie","Luca Mazzitelli","in","Sassuolo","Italy","Genoa","Italy",8,57,50,2018
"08/08","Italie","Andrea Favilli","in","Juventus","Italy","Genoa","Italy",7,52,50,2018
"17/08","Italie","G.  Lapadula","in","AC Milan","Italy","Genoa","Italy",11,41,50,2018
"07/01","Brésil","Jandrei","in","Brazil","Other","Genoa","Italy",2.4,103,50,2018
"24/01","Italie","Stefano Sturaro","in","Portugal","Other","Genoa","Italy",16.5,101,50,2018
"29/01","Danemark","Lukas Lerager","in","Bordeaux","France","Genoa","Italy",6,63,50,2018
"31/01","Serbie","I.  Radovanovic","in","Chievo Verona","Italy","Genoa","Italy",4,46,50,2018
"26/06","Belgique","R.  Nainggolan","in","AS Roma","Italy","Inter Milan","Italy",38,42,51,2018
"01/07","Italie","Matteo Politano","in","Sassuolo","Italy","Inter Milan","Italy",20,57,51,2018
"04/07","Argentine","L.  Martínez","in","Argentina","Other","Inter Milan","Italy",23,105,51,2018
"08/06","Italie","Mattia Perin","in","Genoa","Italy","Juventus","Italy",12,50,52,2018
"27/06","Portugal","Joao Cancelo","in","Inter Milan","Italy","Juventus","Italy",40.4,51,52,2018
"01/07","Brésil","Douglas Costa","in","Bayern Munich","Germany","Juventus","Italy",46,83,52,2018
"10/07","Portugal","C.  Ronaldo","in","Real Madrid","Spain","Juventus","Italy",117,37,52,2018
"29/01","Uruguay","M.  Cáceres","in","Lazio","Italy","Juventus","Italy",0.6,53,52,2018
"22/06","Danemark","Riza Durmisi","in","Real Betis","Spain","Lazio","Italy",6.5,24,53,2018
"03/07","Kosovo","Valon Berisha","in","Austria","Other","Lazio","Italy",7.5,110,53,2018
"11/07","Italie","F.  Acerbi","in","Sassuolo","Italy","Lazio","Italy",10,57,53,2018
"31/07","Argentine","Joaquin Correa","in","Sevilla FC","Spain","Lazio","Italy",15,29,53,2018
"01/07","Italie","Simone Verdi","in","Bologna","Italy","Napoli","Italy",25,44,54,2018
"01/07","Brésil","Vinícius","in","Portugal","Other","Napoli","Italy",4,101,54,2018
"05/07","Grèce","O.  Karnezis","in","Udinese","Italy","Napoli","Italy",2.5,60,54,2018
"05/07","Italie","Alex Meret","in","SPAL","Italy","Napoli","Italy",27,58,54,2018
"05/07","Espagne","Fabián Ruiz","in","Real Betis","Spain","Napoli","Italy",30,24,54,2018
"08/08","France","Kévin Malcuit","in","Lille","France","Napoli","Italy",12,67,54,2018
"17/08","Colombie","David Ospina","in","Arsenal","England","Napoli","Italy",3.5,1,54,2018
"07/08","France","J.  Biabiany","in","Inter Milan","Italy","Parma","Italy",1.5,51,55,2018
"14/06","Italie","Alex Ferrari","in","Bologna","Italy","Sampdoria","Italy",4.5,44,56,2018
"19/06","Gambie","Omar Colley","in","Belgium","Other","Sampdoria","Italy",7.8,100,56,2018
"06/07","République tchèque","Jakub Jankto","in","Udinese","Italy","Sampdoria","Italy",15,60,56,2018
"17/07","Italie","Emil Audero","in","Juventus","Italy","Sampdoria","Italy",20,52,56,2018
"24/07","France","G.  Defrel","in","AS Roma","Italy","Sampdoria","Italy",20,42,56,2018
"11/01","Italie","M.  Gabbiadini","in","Southampton","England","Sampdoria","Italy",14,16,56,2018
"04/07","Italie","Di Francesco","in","Bologna","Italy","Sassuolo","Italy",10,44,57,2018
"17/07","Maroc","Mehdi Bourabia","in","Turkey","Other","Sassuolo","Italy",2.3,102,57,2018
"13/08","Italie","M.  Locatelli","in","AC Milan","Italy","Sassuolo","Italy",10,41,57,2018
"16/08","Brésil","Marlon","in","FC Barcelona","Spain","Sassuolo","Italy",6,28,57,2018
"30/01","Turquie","Merih Demiral","in","Turkey","Other","Sassuolo","Italy",7,102,57,2018
"01/07","Sénégal","Alfred Gomis","in","Torino","Italy","SPAL","Italy",1.5,59,58,2018
"01/07","Slovénie","Jasmin Kurtic","in","Atalanta","Italy","SPAL","Italy",4.8,43,58,2018
"19/07","Italie","Andrea Petagna","in","Atalanta","Italy","SPAL","Italy",12,43,58,2018
"13/08","Italie","S.  Missiroli","in","Sassuolo","Italy","SPAL","Italy",2.5,57,58,2018
"16/08","Italie","M.  Valdifiori","in","Torino","Italy","SPAL","Italy",1,59,58,2018
"04/07","Italie","Armando Izzo","in","Genoa","Italy","Torino","Italy",8,50,59,2018
"10/07","Brésil","Bremer","in","Brazil","Other","Torino","Italy",5.8,103,59,2018
"10/07","France","S.  Meïté","in","Monaco","France","Torino","Italy",10,70,59,2018
"17/08","Côte d'Ivoire","Koffi Djidji","in","Nantes","France","Torino","Italy",4.5,72,59,2018
"17/08","Italie","Simone Zaza","in","Valencia CF","Spain","Torino","Italy",12,30,59,2018
"17/07","Argentine","I.  Pussetto","in","Argentina","Other","Udinese","Italy",8,105,60,2018
"26/07","Italie","R.  Mandragora","in","Juventus","Italy","Udinese","Italy",20,52,60,2018
"17/08","Nigeria","Troost-Ekong","in","Turkey","Other","Udinese","Italy",3.3,102,60,2018
