"TDate","Nat","Name","InOut","ClubFrom","DivFrom","ClubTo","DivTo","Amount","ClubFromID","ClubToID","Year_F","date","month","player_id","name","teamName","age","positionText","apps","subOn","minsPlayed","manOfTheMatch","yellowCard","redCard","rating","goal","assistTotal","shotsPerGame","keyPassPerGame","dribbleWonPerGame","foulGivenPerGame","offsideGivenPerGame","dispossessedPerGame","totalPassesPerGame","passSuccess","tacklePerGame","interceptionPerGame","foulsPerGame","clearancePerGame","outfielderBlockPerGame","goalOwn"
"16-Aug","Colombie","Carlos Bacca","in","AC Milan","Italy","Villarreal","Spain",7,41,40,2018,16,8,71687,"Carlos Bacca","Villarreal",33,"Forward",33,21,1263,0,3,0,6.38030303030303,6,1,0.939393939393939,0.696969696969697,0.363636363636364,0.272727272727273,0.454545454545455,0.818181818181818,8.18181818181818,68.1481481481482,0.121212121212121,0.242424242424242,0.575757575757576,0.151515151515152,0,0
"15-Aug","Uruguay","Diego Laxalt","in","Genoa","Italy","AC Milan","Italy",14,50,41,2018,15,8,135584,"Diego Laxalt","AC Milan",26,"Midfielder",20,14,640,0,2,0,6.3505,0,0,0.3,0.4,0.35,0.25,0,0.5,16,77.8125,1.3,0.4,0.8,0.55,0.15,0
"17-Aug","Espagne","S.  Castillejo","in","Villarreal","Spain","AC Milan","Italy",25,40,41,2018,17,8,238773,"Samu Castillejo","AC Milan",24,"Midfielder",31,23,1008,1,3,0,6.46354838709677,4,2,0.967741935483871,0.612903225806452,0.612903225806452,0.838709677419355,0.129032258064516,0.870967741935484,13.8709677419355,86.7441860465116,0.483870967741935,0.258064516129032,0.870967741935484,0.290322580645161,0,0
"25-Jun","Argentine","Javier Pastore","in","Paris S-G","France","AS Roma","Italy",20,75,42,2018,25,6,41220,"Javier Pastore","Roma",30,"Midfielder",14,7,596,0,0,0,6.70357142857143,3,0,1.35714285714286,1.28571428571429,1.07142857142857,0.214285714285714,0,0.428571428571429,26.4285714285714,85.6756756756757,0.714285714285714,0.214285714285714,0.642857142857143,0.357142857142857,0,0
"01-Jul","Italie","Bryan Cristante","in","Atalanta","Italy","AS Roma","Italy",21,43,42,2018,1,7,109149,"Bryan Cristante","Roma",24,"Midfielder",35,9,2421,1,10,0,6.81,4,3,1.22857142857143,0.8,0.885714285714286,0.428571428571429,0,0.971428571428571,36.9428571428571,82.2119102861562,1.8,0.8,1.82857142857143,1.28571428571429,0.142857142857143,0
"01-Jul","République tchèque","Patrik Schick","in","Sampdoria","Italy","AS Roma","Italy",14,56,42,2018,1,7,243565,"Patrik Schick","Roma",23,"Forward",24,9,1315,1,4,0,6.58125,3,0,1.41666666666667,0.75,0.375,0.791666666666667,0.375,0.875,11.0416666666667,74.7169811320755,0.458333333333333,0.125,1.125,0.541666666666667,0.0833333333333333,0
"14-Aug","France","Steven N'Zonzi","in","Sevilla FC","Spain","AS Roma","Italy",30,29,42,2018,14,8,39935,"Steven Nzonzi","Roma",30,"Midfielder",30,1,2619,1,7,0,7.05566666666667,1,2,0.733333333333333,0.8,0.433333333333333,0.5,0,0.4,56.2666666666667,87.7369668246445,2.2,0.9,1.06666666666667,1.7,0.8,0
"22-Jun","Pologne","L.  Skorupski","in","AS Roma","Italy","Bologna","Italy",9,42,44,2018,22,6,77397,"Lukasz Skorupski","Bologna",28,"Goalkeeper",38,0,3420,2,1,0,6.69236842105263,0,0,0,0,0,0.0263157894736842,0,0,23.7894736842105,63.6061946902655,0,0.0789473684210526,0,0.789473684210526,0,0
"04-Jul","Italie","D.  Falcinelli","in","Sassuolo","Italy","Bologna","Italy",10,57,44,2018,4,7,79674,"Diego Falcinelli","Bologna",28,"Forward",16,8,707,0,0,0,6.248125,0,1,1,0.3125,0.5,1.25,0,1.9375,8.4375,83.7037037037037,0.5,0.0625,0.8125,0.1875,0.0625,0
"17-Aug","Estonie","Ragnar Klavan","in","Liverpool","England","Cagliari","Italy",1.3,12,45,2018,17,8,10839,"Ragnar Klavan","Cagliari",33,"Defender",15,0,1233,0,2,0,6.51533333333333,0,0,0.133333333333333,0.0666666666666667,0.0666666666666667,0.266666666666667,0,0.266666666666667,41.6666666666667,80.64,0.6,0.666666666666667,0.466666666666667,4.46666666666667,0.866666666666667,0
"17-Aug","Ghana","Afriyie Acquah","in","Torino","Italy","Empoli","Italy",1,59,47,2018,17,8,91180,"Afriyie Acquah","Empoli",27,"Midfielder",28,9,1514,1,4,0,6.42357142857143,2,0,0.785714285714286,0.392857142857143,0.964285714285714,1.14285714285714,0.0357142857142857,0.75,24.7142857142857,82.2254335260116,0.964285714285714,0.428571428571429,0.964285714285714,0.5,0.0357142857142857,0
